404	10714
5866	186
500	62
403	54
46573	32
40310	27
509	19
49152	19
4179	18
501	14
527	13
5026	13
4247	13
4324	12
5978	11
59520	9
543	9
52491	7
4209	7
45966	6
44877	6
58026	5
5220	5
40960	5
515	4
48511	4
4722	4
46888	4
4142	4
598	3
5544	3
5086	3
48305	3
4538	3
4441	3
44153	3
5862	2
57344	2
49553	2
49449	2
4796	2
45970	2
4524	2
43551	2
42732	2
41397	2
59752	1
593699	1
5878	1
5864	1
58176	1
581632	1
5730	1
569688	1
5679	1
55666	1
53047	1
5163	1
5099	1
50896	1
5052	1
49590	1
4904	1
48892	1
4832	1
47609	1
47257	1
4717	1
47145	1
47122	1
4656	1
45846	1
45632	1
43554	1
4236	1
421	1
4109	1
4099	1
4060	1
4048	1
4045	1
